gene	p	beta	se	cmafTotal	cmafUsed	nsnpsTotal	nsnpsUsed	nmiss
INTS1	0.000000000000000000000000000000416862157695205	1.88160027029978	0.162220734300998	0.25	0.25	19	19	0
TP53	0.00000000000000000000000000000105354904005676	2.29401651406189	0.199143933019741	0.308189655172414	0.308189655172414	51	51	0
SCC_Genes	0.00000000000000000000000000000173243878895121	0.824137423726265	0.0718111652438612	0.933189655172414	0.933189655172414	259	259	0
NOTCH1	0.00000000000000000614441212355039	2.22722987627188	0.258085072982928	0.209051724137931	0.209051724137931	62	62	0
CSMD3	0.000000000000232393064397302	2.67097715307052	0.364454343367876	0.256465517241379	0.256465517241379	73	73	0
CCDC61	0.000000000000970031127397192	2.12787266499531	0.298243040826809	0.0883620689655172	0.0883620689655172	10	10	0
KNSTRN	0.00000000000276062647872016	4.81189204222065	0.688455584699769	0.0452586206896552	0.0452586206896552	2	2	0
ZNF804A	0.00000000000419782953346787	3.19656590441905	0.461241228608314	0.0560344827586207	0.0560344827586207	16	16	0
BCL2L12	0.0000000000331991443659364	3.25107445865627	0.490237332942849	0.0581896551724138	0.0581896551724138	6	6	0
STK19	0.0000000000409330193144318	2.97117653232335	0.450133220694125	0.0495689655172414	0.0495689655172414	3	3	0
EBNA1BP2	0.000000000134505876047219	2.63301632965274	0.41000018360102	0.0517241379310345	0.0517241379310345	6	6	0
DCLK1	0.000000000177459044017187	2.88916280136245	0.452869588230654	0.0625	0.0625	15	15	0
OR4A15	0.000000000230713220705914	2.77342221539457	0.437492077965024	0.0689655172413793	0.0689655172413793	12	12	0
ZNF521	0.000000000471582467266726	2.68762902863852	0.431520235356383	0.0603448275862069	0.0603448275862069	18	18	0
MGAM	0.000000000525921829907254	2.49341987368231	0.401441378301594	0.0883620689655172	0.0883620689655172	24	24	0
SPTA1	0.000000000683946126644724	2.18263595160871	0.353763627285669	0.131465517241379	0.131465517241379	44	44	0
ADAMTS18	0.0000000010283672550159	2.70172862706971	0.442547650388998	0.0625	0.0625	16	16	0
COL11A1	0.00000000114252874787652	1.93045950964905	0.317086941580345	0.137931034482759	0.137931034482759	47	47	0
FCRL5	0.00000000168146970569652	2.93475661047693	0.487021903581686	0.0646551724137931	0.0646551724137931	21	21	0
TRHDE	0.00000000264555924854535	4.64370183836196	0.780165150472654	0.0538793103448276	0.0538793103448276	12	12	0
ANO5	0.00000000287272015063791	2.86655381371324	0.482689574512257	0.0581896551724138	0.0581896551724138	22	22	0
DCAF13	0.00000000371358804645802	2.5445617999437	0.43153980687423	0.0495689655172414	0.0495689655172414	5	5	0
COL19A1	0.00000000380262887509197	1.94804614547856	0.330594317905419	0.0603448275862069	0.0603448275862069	23	23	0
NOTCH2	0.00000000394866371793694	2.03267085203697	0.345320594739897	0.0991379310344828	0.0991379310344828	39	39	0
