"S+G2/G1"	"EDU"	"AK leakage"	"Resazurin"	"Cell Number"
"AVPR1B"	0	0.666666666666667	1	-0.333333333333333	0
"CDKN3"	0	0.666666666666667	-0.333333333333333	0	0.333333333333333
"CDKN2D"	0.333333333333333	0.666666666666667	0.333333333333333	-1	-0.666666666666667
"CDKL5"	0	0.333333333333333	0.333333333333333	0	0
"ARAF1"	0	0	-0.333333333333333	-0.333333333333333	-0.333333333333333
"old control"	0.00694444444444444	-0.0347222222222222	-0.152777777777778	0.375	0.145833333333333
"NT"	-0.0694444444444444	-0.541666666666667	0	0.152777777777778	-0.347222222222222
"mediaonly"	0	-0.0138888888888889	-0.00694444444444442	0	0
"cellonly"	0.0405797101449275	0.0521739130434783	-0.0347826086956522	0.278260869565217	0.101449275362319
"HUNK"	0	0.666666666666667	1	-0.333333333333333	-0.666666666666667
"STK32B"	-0.333333333333333	0	0	0	0
"HK2"	0	0	0	1	0.333333333333333
"HIPK3"	0.333333333333333	0	0	-0.333333333333333	0.666666666666667
"APPL"	0	-0.333333333333333	0	1	0.666666666666667
"CDKL1"	0	-1	0	0.333333333333333	0.666666666666667
"ALS2CR7"	0	-0.333333333333333	0	-0.333333333333333	0
"CDK5RAP1"	0	0	0	0.333333333333333	0
"CDK5R2"	0	0.333333333333333	0	0	-0.333333333333333
"CDK5R1"	0	0	0	-0.666666666666667	-0.666666666666667
"RAPGEF3"	-0.333333333333333	0	0.666666666666667	-0.333333333333333	0
"HCK"	0	0	0	-0.666666666666667	-0.333333333333333
"GUCY2D"	-0.333333333333333	-0.333333333333333	0.333333333333333	0.666666666666667	0
"EDN2"	0	0	0	-0.666666666666667	0.333333333333333
"GTF2H1"	0	0	0	0.666666666666667	0
"AKAP8"	0	0	0.666666666666667	0	-0.333333333333333
"CDK11"	0	0	0.333333333333333	-0.666666666666667	0
"CDK10"	0	0.333333333333333	0	0	0
"CDC7"	0	0	0.333333333333333	-1	-0.666666666666667
"CDK11B"	0	0	0	1	0.333333333333333
"DYRK3"	0	0	0	0	0
"GSG2"	0	0	1	-1	-1
"GMFB"	0	0	0	0.333333333333333	0.666666666666667
"CDC2L1"	0	0.333333333333333	1	0	-0.666666666666667
"AKAP1"	0	0	0.666666666666667	0	0
"CDC2"	0.666666666666667	0	-1.33333333333333	0	0
"AK7"	0	0	0	0.333333333333333	0
"AK5"	0	0.333333333333333	0	-0.333333333333333	0.333333333333333
"CCL2"	0	0	0	0	0.666666666666667
"DUSP10"	0	1	-0.666666666666667	0.666666666666667	0
"DTYMK"	0	0	0	0	0.333333333333333
"GALK1"	0	0	0	-1	-0.333333333333333
"ADRBK1"	0	0.333333333333333	0	-0.333333333333333	-0.333333333333333
"CARKL"	0	0	0	-0.333333333333333	0
"ADRB2"	0.333333333333333	0.333333333333333	1	-0.666666666666667	-1
"CARD14"	0	0.666666666666667	0	0.333333333333333	0
"CAMK2D"	0	0	-0.333333333333333	0.333333333333333	0
"PLK1"	0.213333333333333	0.693333333333333	0	0.0133333333333333	0.0533333333333333
"FUK"	0	0	0	0.333333333333333	0.666666666666667
"STYK1"	0	-1	0	-1	-0.333333333333333
"EPHA6"	0	0.333333333333333	0	-0.333333333333333	-0.666666666666667
"FLT4"	0	0	0.333333333333333	0	0
"ACVRL1"	0	0	1	0.333333333333333	0
"CAMK1"	0	0	0	0.666666666666667	0.666666666666667
"C6ORF199"	0	0	0	0	0.666666666666667
"TRIB3"	-0.666666666666667	0	0	0	0
"FLJ34389"	-0.666666666666667	0	-0.666666666666667	0.333333333333333	0
"DDR2"	0	0	0	-0.333333333333333	0
"LRRK1"	0	0	0	0	0.333333333333333
"DCK"	0	0	1	-1	-1
"BUB1B"	0	0	0	0	-0.333333333333333
"BRAF"	0	0	0	0.333333333333333	0
"CIT"	-0.666666666666667	0	0.333333333333333	0.333333333333333	0.666666666666667
"CSNK2A2"	0	0	-0.666666666666667	0	-0.333333333333333
"FLJ10761"	0	0	0	-0.666666666666667	0.333333333333333
"CSNK1G1"	0.333333333333333	0	0	0	0.666666666666667
"FGFR3"	0	0.333333333333333	-0.333333333333333	0	0
"CSNK1E"	0	-0.333333333333333	0	0.333333333333333	0
"FGFR2"	0	0	-0.666666666666667	0	0
"CHKA"	0	0	-1	0	0.666666666666667
"CHEK1"	0.666666666666667	0	0	-0.666666666666667	-0.666666666666667
"BCR"	0	1	1	-0.666666666666667	-1
"BCKDK"	0	0	-0.333333333333333	0	0
"AATK"	0	0	0	-0.666666666666667	-0.666666666666667
"AZU1"	0	0	0.333333333333333	0	-1
"FES"	0	0	-1	1	0.666666666666667
"CSK"	0	1	0	1	0
"CSF1R"	0	1	-0.333333333333333	0	0.333333333333333
"COPB2"	1	-0.666666666666667	0	0	0
"ERK8"	0	0.333333333333333	0	0	-0.333333333333333
"ERBB4"	0.333333333333333	1	0	0.333333333333333	0.666666666666667
"CNKSR1"	0.333333333333333	-1	0	-1	-1
"NEK3"	0	0	0	0	0.666666666666667
"MAP3K11"	0.333333333333333	-0.333333333333333	0	-0.333333333333333	-0.666666666666667
"NEK1"	0	0	0	0	0
"MAP2K7"	0	0	0	-0.333333333333333	-0.666666666666667
"COASY"	0	0	0	0	0
"PIP5K1A"	0	0	0	0	0.333333333333333
"RAGE"	0	0	0	0.666666666666667	0
"MYLK2"	1	-1	0.666666666666667	-0.666666666666667	-0.666666666666667
"MVD"	0	1	0	-0.333333333333333	0.333333333333333
"MAK"	0	0	-0.333333333333333	-0.333333333333333	0
"MUSK"	0	0.333333333333333	0	-1	0.666666666666667
"PTPN5"	0	0	-0.666666666666667	0	0.666666666666667
"PTK9"	0	0	0	-0.666666666666667	0
"PIK3C2A"	0	0.666666666666667	1	-0.333333333333333	-0.333333333333333
"LYN"	0	0	0	-0.333333333333333	0
"NRBP2"	0	0.666666666666667	0	0	-0.333333333333333
"MINK"	0	0	0	-1	-1
"PRPF4B"	0	0.333333333333333	0	-0.666666666666667	0
"PFTK1"	0	-0.333333333333333	0	-0.333333333333333	-0.333333333333333
"PRKY"	0	0	0	-0.333333333333333	0
"PFKP"	0	0	0	-1	0
"PRKWNK3"	0	-0.666666666666667	0	0	0
"LCP2"	0	0	0	-0.333333333333333	0
"UHMK1"	-1	0	-0.333333333333333	0	0.333333333333333
"PFKFB1"	0	0	0	0.333333333333333	0
"PRKR"	0	0	0	0.333333333333333	0
"PDGFRB"	0	1	0	-0.666666666666667	0
"LMTK3"	0	-0.666666666666667	-0.666666666666667	-0.666666666666667	0
"MERTK"	0.333333333333333	0	0.666666666666667	-1	-1
"KIAA1804"	0	0	0	0.333333333333333	-0.333333333333333
"MATK"	0	0	0	-0.333333333333333	0
"MAST2"	0	1	0	-0.666666666666667	-0.333333333333333
"MARK4"	0	0	0	0.333333333333333	-1
"KIAA0999"	0.333333333333333	0	0	0	0.666666666666667
"MARK3"	0	0	0.666666666666667	-1	-1
"MARK2"	0	0	0	0	0
"PCTK3"	0	-0.666666666666667	1	0	0
"PCTK1"	0	0	0.666666666666667	-0.666666666666667	-0.333333333333333
"PRKCH"	0	0	0	-0.666666666666667	0
"PANK4"	0	0	0	0	0
"JAK2"	0	1	0	0.666666666666667	0.333333333333333
"MAPK8IP2"	0	-1	0	-0.666666666666667	-0.333333333333333
"PRKCA"	0	0	0	0.666666666666667	0
"PRKAR2B"	0	0	0	-0.666666666666667	0
"PRKAG3"	0.333333333333333	0	0	0	-0.333333333333333
"ITPK1"	0	0	-0.333333333333333	0.666666666666667	0.666666666666667
"IRS1"	0	0.666666666666667	0	-0.333333333333333	-1
"MAPK3"	0	0	-1	0	0
"MAPK12"	0	1	1	-1	-1
"MAPK10"	0	0	0	0.333333333333333	0
"MAP4K5"	0	0	0	0.333333333333333	0
"PACE-1"	0	-1	0	0	0
"PRKAA2"	0.333333333333333	0	0	-0.666666666666667	-1
"OSR1"	0	0	0	0.666666666666667	0
"PPP2CA"	0	0	-0.666666666666667	0	0
"NTRK1"	0	0	0	0	0
"EXOSC10"	0	0	0	0	0.333333333333333
"MAP3K9"	0	0.333333333333333	0.666666666666667	-0.666666666666667	0
"MAP3K4"	0	0	0	0.333333333333333	0
"NPR1"	0	0	-0.666666666666667	-0.666666666666667	0.666666666666667
"PKM2"	0	-0.333333333333333	0	0.333333333333333	0
"NME3"	0	0	0	0	0.666666666666667
"NME1"	0	-1	0	1	0
"AURKA"	0.666666666666667	0	0.666666666666667	-1.33333333333333	-0.333333333333333
"STK39"	-0.666666666666667	0	0	0	0
"STK38L"	0	0.333333333333333	0.666666666666667	-0.333333333333333	0
"STK38"	0	0.333333333333333	0	0	0
"STK22C"	0	-1	0	0	-0.666666666666667
"PLK4"	0	0	0	0	0.666666666666667
"STK11"	0	0	0	-1	-0.333333333333333
"ABI1"	-0.333333333333333	0	0	1	1
"WEE1"	1	0	0	0	0
"SPA17"	0	-1	0	-0.333333333333333	-0.666666666666667
"SNRK"	0	0	0.666666666666667	-0.666666666666667	-0.333333333333333
"PLK2"	0	0	0	-0.333333333333333	0
"SMG1"	0	0	1	0	0
"TTK"	0	0	-1	0.666666666666667	0
"SHC1"	0	0.333333333333333	0	0	1
"TTBK2"	0	0	0	-0.666666666666667	-0.333333333333333
"SEPHS1"	0	0	0	-0.333333333333333	0
