SCC_Genes	BRCA.Genes	RAD51.Paralogues	BLM.Complex	Checkpoint.Proteins	citric	lipid_raft	caveolae	Checkpoint_extendedx1.noP53	Checkpoint_extendedx2.noP53	Citric.no.IDH	BLM.Complex_AND_Checkpoint	FANCD2_minimal_mono_ubi	MLH_cluster
TP53	BRCA2	RAD51C	RMI1	RPA1	CS	PARK7	FLOT1	CHEK2	MCM6	CS	RMI1	FANCB	MLH1
CDKN2A	BRIP1	RAD51	RMI2	RPA2	DLAT	DPP4	PACSIN2	RPA1	ABL1	DLAT	RMI2	FANCL	MLH3
CASP8	PALB2	RAD51B	BLM	RPA3	DLD	S1PR1	SPRED1	ATR	HUS1	DLD	BLM	C17orf70	
FAT1	BRCA1	RAD51D	TOP3A	ATM	DLST	FAIM2	EFNA5	CHEK1	MCM4	DLST	TOP3A		
NOTCH1	BARD1	XRCC2	RPA1	ATR	FH	RGMB	FLOT2	TOPBP1	MCM5	FH	RPA1		
KNSTRN	RAD51C	XRCC3	RPA2	ATRIP	IDH1	STOML2	PTRF	ATRIP	RPA3	IDH3A	RPA2		
NOTCH2			RPA3	CHECK1	IDH2	IKBKB	HCK	MCM2	CDC25C	IDH3B	RPA3		
HRAS				RAD9A	IDH3A	OLR1	HTR2A	RPA2	RAD17	IDH3G	RPA1		
PIK3CA				RAD17	IDH3B	PODXL	LIPE	H2AFX	RAD9A	MDH1	RPA2		
KMT2D				CHECK2	IDH3G	PI4K2A	NOS3	HUS1	CHEK1	MDH2	RPA3		
FBXW7					MDH1	PTPRC	PLVAP	ATM	MDM2	ACLY	ATM		
CCND1					MDH2	SMURF2	SDPR	RPA3	ATM	ACO1	ATR		
RB1					ACLY	BST2	CAV1	RAD17	ATR	OGDH	ATRIP		
TP63					ACO1	TRPM8	CAV2	ABL1	H2AFX	ACO2	CHECK1		
NSD1					OGDH	EFHD2	CAV3	BRCA1	CDC25A	PC	RAD9A		
					ACO2	CARD11	SCARB1	RAD9A	RPA2	PCK1	RAD17		
					PC	CAV1			CDC7	PCK2			
					PCK1	BCL10			MCM7	PDHA1			
					PCK2				MCM2	PDHA2			
					PDHA1				BRCA1	PDHB			
					PDHA2				ATRIP	OGDHL			
					PDHB				TOPBP1	SDHA			
					OGDHL				CDKN1A	SDHB			
					SDHA				MCM3	SDHC			
					SDHB				RPA1	SDHD			
					SDHC				CHEK2	SUCLG2			
					SDHD					SUCLG1			
					SUCLG2					SUCLA2			
					SUCLG1								
					SUCLA2								
