gene	p	beta	se	cmafTotal	cmafUsed	nsnpsTotal	nsnpsUsed	nmiss
Clinical	0.00000000000000000000000000000000000205572312818426	0.839316740315614	0.0666012902600107	0.556197122528374	0.556197122528374	153	153	0
NPM1	0.00000000000000000466687394902687	1.04740663750643	0.120930426883882	0.179054054054054	0.179054054054054	8	8	0
FLT3	0.0000000000000000639088099596211	3.23067846607593	0.386547382679056	0.0540540540540541	0.0540540540540541	6	6	0
DNMT3A	0.000000000000552230211636761	2.36718306097605	0.328238151953208	0.0626500133220368	0.0626500133220368	21	21	0
IDH2	0.0000000000231306460619804	3.30676328502337	0.49467209653644	0.0337837837837838	0.0337837837837838	2	2	0
citric	0.000000000254802822164813	1.38878344430452	0.219603648973887	0.152096133351594	0.152096133351594	57	57	0
MRN.Complex	0.0000000405107752994626	1.91939498167854	0.349705079756658	0.0692970343750451	0.0692970343750451	22	22	0
IDH1	0.00000033159851426569	3.21361502347341	0.629560047092491	0.0202702702702703	0.0202702702702703	3	3	0
other_FANC	0.00000639374104541871	0.48322998901349	0.107076718175387	0.548881670342598	0.548881670342598	272	272	0
RAD51.Paralogues	0.00000905869382159139	1.79978088861776	0.405492819740883	0.0523648648648649	0.0523648648648649	22	22	0
TET2	0.00000955351825260472	1.3067708704493	0.295179392488005	0.0625114910829197	0.0625114910829197	36	36	0
RUNX1	0.0000115209787358161	1.83697974402753	0.418784009617875	0.0287797908245335	0.0287797908245335	13	13	0
KIAA1109	0.0000472558102333958	2.21934801762055	0.545455123926149	0.0236486486486486	0.0236486486486486	13	13	0
NRAS	0.0000749147104399084	2.58310050568838	0.652279706755368	0.0152542372881356	0.0152542372881356	8	8	0
COL6A3	0.0000750925627809927	1.91499116486996	0.483639146003632	0.0354844640558926	0.0354844640558926	19	19	0
CEP250	0.000111187109458178	3.15801614763477	0.817125964978997	0.0118243243243243	0.0118243243243243	7	7	0
ANKMY1	0.000111187109458178	3.15801614763477	0.817125964978997	0.0118243243243243	0.0118243243243243	7	7	0
USP53	0.000111187109458178	3.15801614763477	0.817125964978997	0.0118243243243243	0.0118243243243243	7	7	0
MYO15A	0.000117714358159387	1.45308246944484	0.377341887000918	0.0405980746584545	0.0405980746584545	20	20	0
ASTN1	0.000133839078173963	1.95953852170459	0.513064236429137	0.023728813559322	0.023728813559322	13	13	0
FANC.Genes.of.the.CC	0.000150854767457488	0.42848611814307	0.113067222844907	0.48966219522372	0.48966219522372	242	242	0
MYO15B	0.000235281008442411	1.37014336534113	0.372547216850509	0.0423335442164993	0.0423335442164993	21	21	0
NCOR2	0.000247179595119445	2.65073927099345	0.72322517236902	0.0152718459639732	0.0152718459639732	9	9	0
MCM7	0.000354372117981734	3.14712643678086	0.88107388324667	0.0101351351351351	0.0101351351351351	5	5	0
C12orf50	0.000354372117981734	3.14712643678086	0.88107388324667	0.0101351351351351	0.0101351351351351	5	5	0
SLC7A9	0.000354372117981735	3.14712643678086	0.88107388324667	0.0101351351351351	0.0101351351351351	6	6	0
ARAP2	0.000354372117981735	3.14712643678086	0.88107388324667	0.0101351351351351	0.0101351351351351	6	6	0
SLC23A1	0.000356907628275578	3.14554899147202	0.881092829460857	0.0101466262180548	0.0101466262180548	6	6	0
SPATA3	0.000366044773861016	3.13989174852153	0.881143883923122	0.0101870214924822	0.0101870214924822	5	5	0
NOTCH1	0.000367108722401879	1.29977581142412	0.364832430907615	0.0646424180208923	0.0646424180208923	9	9	0
ID.Comple	0.000377994441917312	0.497431231464209	0.139924817373132	0.336424871932473	0.336424871932473	179	179	0
FER1L6	0.000461698838858031	2.12208733923175	0.605956337721329	0.0219824416252988	0.0219824416252988	12	12	0
COL7A1	0.000493468654002389	1.63414296099295	0.469004905008284	0.0342235200132584	0.0342235200132584	15	15	0
COL24A1	0.000657917422340296	1.4128490501741	0.414745977779137	0.0457627118644068	0.0457627118644068	6	6	0
MLL2	0.000742263683766062	1.76920925812756	0.524447458538762	0.0185810810810811	0.0185810810810811	11	11	0
SORCS3	0.000743219662802089	2.58271990740672	0.765677199656619	0.0135135135135135	0.0135135135135135	6	6	0
SORCS1	0.000743219662802091	2.58271990740672	0.765677199656619	0.0135135135135135	0.0135135135135135	8	8	0
HELB	0.000743219662802091	2.58271990740672	0.765677199656619	0.0135135135135135	0.0135135135135135	5	5	0
TP53	0.000748277501256779	1.76809412270854	0.524462379061961	0.0186041025985782	0.0186041025985782	9	9	0
SMEK1	0.000901044515701502	1.35230893815627	0.407355061152079	0.0356798124655267	0.0356798124655267	4	4	0
DSCAML1	0.000928345275044911	2.15993135728182	0.652273796239901	0.0152256069628951	0.0152256069628951	9	9	0
THADA	0.00107928419716192	2.24656410256346	0.687232889411578	0.0168918918918919	0.0168918918918919	10	10	0
EVPL	0.00113051482353331	2.23792164309023	0.68735298842007	0.016995823226111	0.016995823226111	10	10	0
MLLT10	0.00113354212715966	3.13631156930051	0.963508289799863	0.00844594594594595	0.00844594594594595	5	5	0
CRTAC1	0.00113354212715966	3.13631156930051	0.963508289799863	0.00844594594594595	0.00844594594594595	5	5	0
PAMR1	0.00113354212715966	3.13631156930051	0.963508289799863	0.00844594594594595	0.00844594594594595	5	5	0
VRK3	0.00113354212715966	3.13631156930051	0.963508289799863	0.00844594594594595	0.00844594594594595	5	5	0
SMYD1	0.00113354212715966	3.13631156930051	0.963508289799863	0.00844594594594595	0.00844594594594595	4	4	0
TTLL4	0.00113354212715966	3.13631156930051	0.963508289799863	0.00844594594594595	0.00844594594594595	5	5	0
CRYBG3	0.00113354212715966	3.13631156930051	0.963508289799863	0.00844594594594595	0.00844594594594595	5	5	0
