chr	start	end	gene.id	exonRank	exonID	tx.name	Approved Symbol	chr	start	end	NSGC-44.3:Sum	NSGC-57.3:Sum	NSGC-44.3:Max	NSGC-57.3:Max	NSGC-44.3:Mean	NSGC-57.3:Mean	NSGC-44.3:bp.gt.1	NSGC-57.3:bp.gt.1	NSGC-44.3:bp.gt.5	NSGC-57.3:bp.gt.5	NSGC-44.3:bp.gt.10	NSGC-57.3:bp.gt.10	NSGC-44.3:bp.gt.15	NSGC-57.3:bp.gt.15	NSGC-44.3:bp.gt.30	NSGC-57.3:bp.gt.30	NSGC-44.3:percent.ccds.gt.1	NSGC-57.3:percent.ccds.gt.1	NSGC-44.3:percent.ccds.gt.5	NSGC-57.3:percent.ccds.gt.5	NSGC-44.3:percent.ccds.gt.10	NSGC-57.3:percent.ccds.gt.10	NSGC-44.3:percent.ccds.gt.15	NSGC-57.3:percent.ccds.gt.15	NSGC-44.3:percent.ccds.gt.30	NSGC-57.3:percent.ccds.gt.30
chr18	59713089	59713212	23556	28;30;31	235013;235013;235013	uc021ulb.1;uc021ulc.1;uc021uld.1	PIGN	chr18	59713089	59713212	6849	4259	72	38	55.2338709677419	34.3467741935484	124	124	124	124	124	124	124	124	124	124	100	100	100	100	100	100	100	100	100	100
chr18	59739906	59739958	23556	27;29;30	235014;235014;235014	uc021ulb.1;uc021ulc.1;uc021uld.1	PIGN	chr18	59739906	59739958	1584	3374	34	71	29.8867924528302	63.6603773584906	53	53	53	53	53	53	53	53	28	53	100	100	100	100	100	100	100	100	52.8301886792453	100
chr18	59742012	59742054	23556	26;28;29	235015;235015;235015	uc021ulb.1;uc021ulc.1;uc021uld.1	PIGN	chr18	59742012	59742054	2377	1134	64	31	55.2790697674419	26.3720930232558	43	43	43	43	43	43	43	43	43	5	100	100	100	100	100	100	100	100	100	11.6279069767442
chr18	59749906	59749979	23556	25;27;28	235016;235016;235016	uc021ulb.1;uc021ulc.1;uc021uld.1	PIGN	chr18	59749906	59749979	3496	1645	56	25	47.2432432432432	22.2297297297297	74	74	74	74	74	74	74	74	74	0	100	100	100	100	100	100	100	100	100	0
chr18	59751764	59751839	23556	24;26;27	235017;235017;235017	uc021ulb.1;uc021ulc.1;uc021uld.1	PIGN	chr18	59751764	59751839	2935	2045	50	29	38.6184210526316	26.9078947368421	76	76	76	76	76	76	76	76	57	0	100	100	100	100	100	100	100	100	75	0
chr18	59752442	59752497	23556	23;25;26	235018;235018;235018	uc021ulb.1;uc021ulc.1;uc021uld.1	PIGN	chr18	59752442	59752497	4589	2912	93	55	81.9464285714286	52	56	56	56	56	56	56	56	56	56	56	100	100	100	100	100	100	100	100	100	100
chr18	59755989	59756075	23556	22;24;25	235019;235019;235019	uc021ulb.1;uc021ulc.1;uc021uld.1	PIGN	chr18	59755989	59756075	10587	1863	165	28	121.689655172414	21.4137931034483	87	87	87	87	87	87	87	87	87	0	100	100	100	100	100	100	100	100	100	0
chr18	59757709	59757811	23556	21;23;24	235020;235020;235020	uc021ulb.1;uc021ulc.1;uc021uld.1	PIGN	chr18	59757709	59757811	7823	1795	104	21	75.9514563106796	17.4271844660194	103	103	103	103	103	103	103	97	103	0	100	100	100	100	100	100	100	94.1747572815534	100	0
chr18	59763081	59763183	23556	20;22;23	235021;235021;235021	uc021ulb.1;uc021ulc.1;uc021uld.1	PIGN	chr18	59763081	59763183	6872	2854	77	34	66.7184466019417	27.7087378640777	103	103	103	103	103	103	103	103	103	36	100	100	100	100	100	100	100	100	100	34.9514563106796
chr18	59768308	59768416	23556	19;21;22	235022;235022;235022	uc021ulb.1;uc021ulc.1;uc021uld.1	PIGN	chr18	59768308	59768416	12355	1700	190	19	113.348623853211	15.5963302752294	109	109	109	109	109	109	107	54	93	0	100	100	100	100	100	100	98.1651376146789	49.5412844036697	85.3211009174312	0
chr18	59770027	59770135	23556	18;20;21	235023;235023;235023	uc021ulb.1;uc021ulc.1;uc021uld.1	PIGN	chr18	59770027	59770135	7398	4284	86	52	67.8715596330275	39.302752293578	109	109	109	109	109	109	109	109	106	98	100	100	100	100	100	100	100	100	97.2477064220184	89.9082568807339
chr18	59772776	59772867	23556	17;19;20	235024;235024;235024	uc021ulb.1;uc021ulc.1;uc021uld.1	PIGN	chr18	59772776	59772867	7183	1470	91	19	78.0760869565217	15.9782608695652	92	92	92	92	92	92	92	81	92	0	100	100	100	100	100	100	100	88.0434782608696	100	0
chr18	59774022	59774114	23556	16;18;19	235025;235025;235025	uc021ulb.1;uc021ulc.1;uc021uld.1	PIGN	chr18	59774022	59774114	6688	1426	98	18	71.9139784946236	15.3333333333333	93	93	93	93	93	93	93	68	93	0	100	100	100	100	100	100	100	73.1182795698925	100	0
chr18	59774219	59774318	23556	15;17;18	235026;235026;235026	uc021ulb.1;uc021ulc.1;uc021uld.1	PIGN	chr18	59774219	59774318	6500	2500	82	28	65	25	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	100	0
chr18	59777067	59777206	23556	14;16;17	235027;235027;235027	uc021ulb.1;uc021ulc.1;uc021uld.1	PIGN	chr18	59777067	59777206	8540	4050	98	34	61	28.9285714285714	140	140	140	140	139	140	130	140	102	40	100	100	100	100	99.2857142857143	100	92.8571428571429	100	72.8571428571429	28.5714285714286
chr18	59780367	59780549	23556	13;15;16	235028;235028;235028	uc021ulb.1;uc021ulc.1;uc021uld.1	PIGN	chr18	59780367	59780549	19931	6176	165	41	108.912568306011	33.7486338797814	183	183	183	183	183	183	183	183	183	154	100	100	100	100	100	100	100	100	100	84.1530054644809
chr18	59781794	59781872	23556	12;14;15	235029;235029;235029	uc021ulb.1;uc021ulc.1;uc021uld.1	PIGN	chr18	59781794	59781872	6131	3059	91	42	77.6075949367089	38.7215189873418	79	79	79	79	79	79	79	79	79	79	100	100	100	100	100	100	100	100	100	100
chr18	59805476	59805525	23556	13;14	235030;235030	uc021ulc.1;uc021uld.1	PIGN	chr18	59805476	59805525	2892	2293	88	50	57.84	45.86	50	50	50	50	50	50	50	50	50	50	100	100	100	100	100	100	100	100	100	100
chr18	59805476	59805531	23556	11	235031	uc021ulb.1	PIGN	chr18	59805476	59805531	3170	2559	88	50	56.6071428571429	45.6964285714286	56	56	56	56	56	56	56	56	56	56	100	100	100	100	100	100	100	100	100	100
chr18	59806216	59806308	23556	10	235032	uc021ulb.1	PIGN	chr18	59806216	59806308	5117	2092	71	27	55.0215053763441	22.494623655914	93	93	93	93	93	93	93	93	88	0	100	100	100	100	100	100	100	100	94.6236559139785	0
chr18	59807653	59807712	23556	9	235033	uc021ulb.1	PIGN	chr18	59807653	59807712	2987	2151	61	38	49.7833333333333	35.85	60	60	60	60	60	60	60	60	60	60	100	100	100	100	100	100	100	100	100	100
chr18	59810539	59810579	23556	8	235034	uc021ulb.1	PIGN	chr18	59810539	59810579	3087	2172	88	56	75.2926829268293	52.9756097560976	41	41	41	41	41	41	41	41	41	41	100	100	100	100	100	100	100	100	100	100
chr18	59813142	59813258	23556	7	235035	uc021ulb.1	PIGN	chr18	59813142	59813258	3863	8271	46	82	33.017094017094	70.6923076923077	117	117	117	117	117	117	111	117	79	117	100	100	100	100	100	100	94.8717948717949	100	67.5213675213675	100
chr18	59814204	59814334	23556	6	235036	uc021ulb.1	PIGN	chr18	59814204	59814334	18582	3785	179	33	141.847328244275	28.8931297709924	131	131	131	131	131	131	131	131	131	48	100	100	100	100	100	100	100	100	100	36.6412213740458
chr18	59815447	59815571	23556	5	235037	uc021ulb.1	PIGN	chr18	59815447	59815571	12947	11055	128	99	103.576	88.44	125	125	125	125	125	125	125	125	125	125	100	100	100	100	100	100	100	100	100	100
chr18	59821778	59821884	23556	4	235038	uc021ulb.1	PIGN	chr18	59821778	59821884	11869	5255	144	58	110.92523364486	49.1121495327103	107	107	107	107	107	107	107	107	107	107	100	100	100	100	100	100	100	100	100	100
chr18	59824362	59824460	23556	3	235039	uc021ulb.1	PIGN	chr18	59824362	59824460	7399	3285	103	38	74.7373737373737	33.1818181818182	99	99	99	99	99	99	99	99	99	83	100	100	100	100	100	100	100	100	100	83.8383838383838
chr18	59824920	59825041	23556	2	235040	uc021ulb.1	PIGN	chr18	59824920	59825041	9388	3959	100	36	76.9508196721311	32.4508196721311	122	122	122	122	122	122	122	122	122	116	100	100	100	100	100	100	100	100	100	95.0819672131148
chr18	59828366	59828586	23556	1	235041	uc021ulb.1	PIGN	chr18	59828366	59828586	16847	6589	124	35	76.2307692307692	29.8144796380091	221	221	221	221	221	221	221	221	219	143	100	100	100	100	100	100	100	100	99.0950226244344	64.7058823529412
